name,reference,matk,rbcL,psbA-trnH,ITS,filepath
Allium_Ursinum,false,false,false,false,true,data/expedition_jardin_botanique/Allium_Ursinum_ITS_barcode82/Allium_Ursinum_ITS_barcode82.fastq
Allium_Ursinum,true,false,false,false,true,data/expedition_jardin_botanique/Allium_Ursinum_ITS_barcode82/Allium_Ursinum_reference_seq.fasta
Allium_Ursinum,false,false,false,true,false,data/expedition_jardin_botanique/Allium_Ursinum_trnH-psbA_barcode84/Allium_Ursinum_trnH-psbA_barcode84.fastq
Ficus_religiosa,false,false,false,false,true,data/expedition_jardin_botanique/Ficus_religiosa_ITS_barcode95/Ficus_religiosa_ITS_barcode95.fastq
Ficus_religiosa,true,false,false,false,true,data/expedition_jardin_botanique/Ficus_religiosa_ITS_barcode95/Ficus_religiosa_reference_seq.fasta
Ficus_religiosa,false,false,true,false,false,data/expedition_jardin_botanique/Ficus_religiosa_rbcL_barcode94/Ficus_religiosa_rbcL_barcode94.fastq
Ficus_religiosa,true,false,true,false,false,data/expedition_jardin_botanique/Ficus_religiosa_rbcL_barcode94/Ficus_religiosa_reference_seq.fasta
Ficus_religiosa,true,false,false,true,false,data/expedition_jardin_botanique/Ficus_religiosa_trnH-psbA_barcode96/Ficus_religiosa_reference_seq.fasta
Ficus_religiosa,false,false,false,true,false,data/expedition_jardin_botanique/Ficus_religiosa_trnH-psbA_barcode96/Ficus_religiosa_trnH-psbA_barcode96.fastq
Hedera_colchica,false,false,false,false,true,data/expedition_jardin_botanique/Hedera_colchica_ITS_barcode78/Hedera_colchica_ITS_barcode78.fastq
Hedera_colchica,true,false,false,false,true,data/expedition_jardin_botanique/Hedera_colchica_ITS_barcode78/Hedera_colchica_reference_seq.fasta
Hedera_colchica,true,false,false,true,false,data/expedition_jardin_botanique/Hedera_colchica_trnH-psbA_barcode80/Hedera_colchica_reference_seq.fasta
Hedera_colchica,false,false,false,true,false,data/expedition_jardin_botanique/Hedera_colchica_trnH-psbA_barcode80/Hedera_colchica_trnH-psbA_barcode80.fastq
Heliconia_bihai,true,false,false,true,false,data/expedition_jardin_botanique/Heliconia_bihai_trnH-psbA_barcode91/Heliconia_bihai_reference_seq.fasta
Heliconia_bihai,false,false,false,true,false,data/expedition_jardin_botanique/Heliconia_bihai_trnH-psbA_barcode91/Heliconia_bihai_trnH-psbA_barcode91.fastq
Photinia_davidiana,false,false,false,false,true,data/expedition_jardin_botanique/Photinia_davidiana_ITS_barcode86/Photinia_davidiana_ITS_barcode86.fastq
Photinia_davidiana,true,false,false,false,true,data/expedition_jardin_botanique/Photinia_davidiana_ITS_barcode86/Photinia_davidiana_reference_seq.fasta
Photinia_davidiana,false,false,true,false,false,data/expedition_jardin_botanique/Photinia_davidiana_rbcL_barcode85/Photinia_davidiana_rbcL_barcode85.fastq
Photinia_davidiana,true,false,true,false,false,data/expedition_jardin_botanique/Photinia_davidiana_rbcL_barcode85/Photinia_davidiana_reference_seq.fasta
Begonia_Masoniana,false,true,true,true,true,data/flongle_fulvia_expedition/Begonia_Masoniana_Qiagen_matk_rbcL_psbA-trnH_ITS_barcode8/Begonia_Masoniana_Qiagen_matk_rbcL_psbA-trnH_ITS_barcode8.fastq
Cymbopogon_Citrus,false,true,true,true,true,data/flongle_fulvia_expedition/Cymbopogon_Citrus_MN_matk_rbcL_psbA-trnH_ITS_barcode9/Cymbopogon_Citrus_MN_matk_rbcL_psbA-trnH_ITS_barcode9.fastq
Cymbopogon_Citrus,false,true,true,true,true,data/flongle_fulvia_expedition/Cymbopogon_Citrus_Qiagen_matk_rbcL_psbA-trnH_ITS_barcode10/Cymbopogon_Citrus_Qiagen_matk_rbcL_psbA-trnH_ITS_barcode10.fastq
Echeveria_Agavoides,false,false,true,true,true,data/flongle_fulvia_expedition/Echeveria_Agavoides_MN_rbcL_psbA-trnH_ITS_barcode1/Echeveria_Agavoides_MN_rbcL_psbA-trnH_ITS_barcode1.fastq
Echeveria_Agavoides,false,false,true,true,true,data/flongle_fulvia_expedition/Echeveria_Agavoides_Qiagen_rbcL_psbA-trnH_ITS_barcode2/Echeveria_Agavoides_Qiagen_rbcL_psbA-trnH_ITS_barcode2.fastq
Echeveria_Agavoides,true,false,true,true,true,data/flongle_fulvia_expedition/Echeveria_Agavoides_Qiagen_rbcL_psbA-trnH_ITS_barcode2/Echeveria_Agavoides_Qiagen_reference_seq.fasta
Ficus_Benjamina,false,false,true,true,true,data/flongle_fulvia_expedition/Ficus_Benjamina_MN_rbcL_psbA-trnH_ITS_barcode5/Ficus_Benjamina_MN_rbcL_psbA-trnH_ITS_barcode5.fastq
Ficus_Benjamina,true,false,true,true,true,data/flongle_fulvia_expedition/Ficus_Benjamina_MN_rbcL_psbA-trnH_ITS_barcode5/Ficus_Benjamina_MN_reference_seq.fasta
Ficus_Benjamina,false,true,true,true,true,data/flongle_fulvia_expedition/Ficus_Benjamina_Qiagen_matk_rbcL_psbA-trnH_ITS_barcode6/Ficus_Benjamina_Qiagen_matk_rbcL_psbA-trnH_ITS_barcode6.fastq
Cymbopogon_Citrus,false,true,true,true,true,data/fulvia_estelle_max_expedition/Cymbopogon_Citrus_Qiagen_matk_rbcL_psbA-trnH_ITS_barcode3/Cymbopogon_Citrus_Qiagen_matk_rbcL_psbA-trnH_ITS_barcode3.fastq
Echeveria_Miranda,false,false,false,false,true,data/fulvia_estelle_max_expedition/Echeveria_Miranda_MN_ITS_barcode1/Echeveria_Miranda_MN_ITS_barcode1.fastq
Echeveria_Miranda,false,false,false,false,true,data/fulvia_estelle_max_expedition/Echeveria_Miranda_Qiagen_ITS_barcode2/Echeveria_Miranda_Qiagen_ITS_barcode2.fastq
Ficus_Benjamina,false,true,true,true,true,data/fulvia_estelle_max_expedition/Ficus_Benjamina_MN_matk_rbcL_psbA-trnH_ITS_barcode4/Ficus_Benjamina_MN_matk_rbcL_psbA-trnH_ITS_barcode4.fastq
Ficus_Benjamina,true,true,true,true,true,data/fulvia_estelle_max_expedition/Ficus_Benjamina_MN_matk_rbcL_psbA-trnH_ITS_barcode4/Ficus_Benjamina_MN_reference_seq.fasta
Solanum_Lycopersicum,false,true,true,false,false,data/fulvia_estelle_max_expedition/Solanum_Lycopersicum_MN_after_14d_matk_rbcL_barcode8/Solanum_Lycopersicum_MN_after_14d_matk_rbcL_barcode8.fastq
Solanum_Lycopersicum,false,true,true,false,false,data/fulvia_estelle_max_expedition/Solanum_Lycopersicum_MN_after_14d_matk_rbcL_barcode9/Solanum_Lycopersicum_MN_after_14d_matk_rbcL_barcode9.fastq
Solanum_Lycopersicum,false,true,true,false,false,data/fulvia_estelle_max_expedition/Solanum_Lycopersicum_MN_after_7d_matk_rbcL_barcode5/Solanum_Lycopersicum_MN_after_7d_matk_rbcL_barcode5.fastq
Solanum_Lycopersicum,false,true,true,false,false,data/fulvia_estelle_max_expedition/Solanum_Lycopersicum_MN_after_7d_matk_rbcL_barcode6/Solanum_Lycopersicum_MN_after_7d_matk_rbcL_barcode6.fastq
Solanum_Lycopersicum,false,true,true,false,false,data/fulvia_estelle_max_expedition/Solanum_Lycopersicum_MN_after_7d_matk_rbcL_barcode7/Solanum_Lycopersicum_MN_after_7d_matk_rbcL_barcode7.fastq
Solanum_Lycopersicum,false,false,true,false,false,data/fulvia_estelle_max_expedition/Solanum_Lycopersicum_Qiagen_RPA_rbcL_barcode10/Solanum_Lycopersicum_Qiagen_RPA_rbcL_barcode10.fastq
Berberis_Julianae_Campus,false,true,true,true,true,data/prunelle_without_purification_expedition/Berberis_Julianae_Campus_matk_rbcL_psbA-trnH_ITS_barcode6/Berberis_Julianae_Campus_matk_rbcL_psbA-trnH_ITS_barcode6.fastq
Berberis_aquifolium_Campus,false,false,false,true,true,data/prunelle_without_purification_expedition/Berberis_aquifolium_Campus_psbA-trnH_ITS_barcode5/Berberis_aquifolium_Campus_psbA-trnH_ITS_barcode5.fastq
Corylus_avellana_Campus,false,true,true,true,true,data/prunelle_without_purification_expedition/Corylus_avellana_Campus_matk_rbcL_psbA-trnH_ITS_barcode8/Corylus_avellana_Campus_matk_rbcL_psbA-trnH_ITS_barcode8.fastq
Corylus_avellana_Campus,true,true,true,true,true,data/prunelle_without_purification_expedition/Corylus_avellana_Campus_matk_rbcL_psbA-trnH_ITS_barcode8/Corylus_avellana_Campus_reference_seq.fasta
Echeveria_Agavoides_Fulvia,false,true,true,true,true,data/prunelle_without_purification_expedition/Echeveria_Agavoides_Fulvia_matk_rbcL_psbA-trnH_ITS_barcode4/Echeveria_Agavoides_Fulvia_matk_rbcL_psbA-trnH_ITS_barcode4.fastq
Ficus_Benjamina_Fulvia,false,false,true,true,true,data/prunelle_without_purification_expedition/Ficus_Benjamina_Fulvia_rbcL_psbA-trnH_ITS_barcode1/Ficus_Benjamina_Fulvia_rbcL_psbA-trnH_ITS_barcode1.fastq
Hederal_Helix_Fulvia,false,true,true,true,true,data/prunelle_without_purification_expedition/Hederal_Helix_Fulvia_matk_rbcL_psbA-trnH_ITS_barcode3/Hederal_Helix_Fulvia_matk_rbcL_psbA-trnH_ITS_barcode3.fastq
Hederal_Helix_Fulvia,true,true,true,true,true,data/prunelle_without_purification_expedition/Hederal_Helix_Fulvia_matk_rbcL_psbA-trnH_ITS_barcode3/Hederal_Helix_Fulvia_reference_seq.fasta
Solanum_Lycopersicum_Fulvia,false,true,true,false,true,data/prunelle_without_purification_expedition/Solanum_Lycopersicum_Fulvia_matk_rbcL_ITS_barcode2/Solanum_Lycopersicum_Fulvia_matk_rbcL_ITS_barcode2.fastq
Solanum_Lycopersicum_Fulvia,true,true,true,false,true,data/prunelle_without_purification_expedition/Solanum_Lycopersicum_Fulvia_matk_rbcL_ITS_barcode2/Solanum_Lycopersicum_Fulvia_reference_seq.fasta
Spirae_trilobata_Campus,false,true,true,true,true,data/prunelle_without_purification_expedition/Spirae_trilobata_Campus_matk_rbcL_psbA-trnH_ITS_barcode10/Spirae_trilobata_Campus_matk_rbcL_psbA-trnH_ITS_barcode10.fastq
Tilia_Cordata_Campus,false,true,false,false,true,data/prunelle_without_purification_expedition/Tilia_Cordata_Campus_matk_ITS_barcode9/Tilia_Cordata_Campus_matk_ITS_barcode9.fastq
Tilia_Cordata_Campus,true,true,false,false,true,data/prunelle_without_purification_expedition/Tilia_Cordata_Campus_matk_ITS_barcode9/Tilia_Cordata_Campus_reference_seq.fasta
Viburnum_Opulus_Campus,false,true,true,false,true,data/prunelle_without_purification_expedition/Viburnum_Opulus_Campus_matk_rbcL_ITS_barcode7/Viburnum_Opulus_Campus_matk_rbcL_ITS_barcode7.fastq
Viburnum_Opulus_Campus,true,true,true,false,true,data/prunelle_without_purification_expedition/Viburnum_Opulus_Campus_matk_rbcL_ITS_barcode7/Viburnum_Opulus_Campus_reference_seq.fasta
Ailanthus_altissima,true,false,true,false,false,data/summer_expedition/Ailanthus_altissima_rbcL_barcode1/Ailanthus_altissima_reference_seq.fasta
Ailanthus_altissima,false,false,true,false,false,data/summer_expedition/Ailanthus_altissima_rbcL_barcode1/Ailanthus_altissimarbcL_barcode1.fastq
Berberis_aquifolium,true,true,true,true,true,data/summer_expedition/Berberis_aquifolium_matK_rbcL_trnH-psbA_ITS_barcode5/Berberis_aquifolium_reference_seq.fasta
Berberis_aquifolium,false,true,true,true,true,data/summer_expedition/Berberis_aquifolium_matK_rbcL_trnH-psbA_ITS_barcode5/Berberis_aquifoliummatK_rbcL_trnH-psbA_ITS_barcode5.fastq
Carex_pendula,true,false,true,true,false,data/summer_expedition/Carex_pendula_rbcL_trnH-psbA_barcode2/Carex_pendula_reference_seq.fasta
Carex_pendula,false,false,true,true,false,data/summer_expedition/Carex_pendula_rbcL_trnH-psbA_barcode2/Carex_pendularbcL_trnH-psbA_barcode2.fastq
Corylus_avellana,true,true,true,true,true,data/summer_expedition/Corylus_avellana_matK_rbcL_trnH-psbA_ITS_barcode7/Corylus_avellana_reference_seq.fasta
Corylus_avellana,false,true,true,true,true,data/summer_expedition/Corylus_avellana_matK_rbcL_trnH-psbA_ITS_barcode7/Corylus_avellanamatK_rbcL_trnH-psbA_ITS_barcode7.fastq
Ficus_benjamina,true,false,true,true,true,data/summer_expedition/Ficus_benjamina_rbcL_trnH-psbA_ITS_barcode10/Ficus_benjamina_reference_seq.fasta
Ficus_benjamina,false,false,true,true,true,data/summer_expedition/Ficus_benjamina_rbcL_trnH-psbA_ITS_barcode10/Ficus_benjaminarbcL_trnH-psbA_ITS_barcode10.fastq
Hedera_helix,true,true,true,true,true,data/summer_expedition/Hedera_helix_matK_rbcL_trnH-psbA_ITS_barcode12/Hedera_helix_reference_seq.fasta
Hedera_helix,false,true,true,true,true,data/summer_expedition/Hedera_helix_matK_rbcL_trnH-psbA_ITS_barcode12/Hedera_helixmatK_rbcL_trnH-psbA_ITS_barcode12.fastq
Prunus_laurocerasus,true,false,true,true,false,data/summer_expedition/Prunus_laurocerasus_rbcL_trnH-psbA_barcode3/Prunus_laurocerasus_reference_seq.fasta
Prunus_laurocerasus,false,false,true,true,false,data/summer_expedition/Prunus_laurocerasus_rbcL_trnH-psbA_barcode3/Prunus_laurocerasusrbcL_trnH-psbA_barcode3.fastq
Solanum_lycopersicum,true,true,true,false,true,data/summer_expedition/Solanum_lycopersicum_matK_rbcL_ITS_barcode11/Solanum_lycopersicum_reference_seq.fasta
Solanum_lycopersicum,false,true,true,false,true,data/summer_expedition/Solanum_lycopersicum_matK_rbcL_ITS_barcode11/Solanum_lycopersicummatK_rbcL_ITS_barcode11.fastq
Spiraea_trilobata,true,true,true,true,true,data/summer_expedition/Spiraea_trilobata_matK_rbcL_trnH-psbA_ITS_barcode9/Spiraea_trilobata_reference_seq.fasta
Spiraea_trilobata,false,true,true,true,true,data/summer_expedition/Spiraea_trilobata_matK_rbcL_trnH-psbA_ITS_barcode9/Spiraea_trilobatamatK_rbcL_trnH-psbA_ITS_barcode9.fastq
Symphoricarpos_orbiculatus,true,true,true,true,true,data/summer_expedition/Symphoricarpos_orbiculatus_matK_rbcL_trnH-psbA_ITS_barcode4/Symphoricarpos_orbiculatus_reference_seq.fasta
Symphoricarpos_orbiculatus,false,true,true,true,true,data/summer_expedition/Symphoricarpos_orbiculatus_matK_rbcL_trnH-psbA_ITS_barcode4/Symphoricarpos_orbiculatusmatK_rbcL_trnH-psbA_ITS_barcode4.fastq
Tilia_cordata,true,true,true,true,true,data/summer_expedition/Tilia_cordata_matK_rbcL_trnH-psbA_ITS_barcode8/Tilia_cordata_reference_seq.fasta
Tilia_cordata,false,true,true,true,true,data/summer_expedition/Tilia_cordata_matK_rbcL_trnH-psbA_ITS_barcode8/Tilia_cordatamatK_rbcL_trnH-psbA_ITS_barcode8.fastq
Viburnum_opulus,true,true,true,true,true,data/summer_expedition/Viburnum_opulus_matK_rbcL_trnH-psbA_ITS_barcode6/Viburnum_opulus_reference_seq.fasta
Viburnum_opulus,false,true,true,true,true,data/summer_expedition/Viburnum_opulus_matK_rbcL_trnH-psbA_ITS_barcode6/Viburnum_opulusmatK_rbcL_trnH-psbA_ITS_barcode6.fastq
Tomato,false,true,false,false,false,data/tomato/matK_MN_tomato.fastq.gz
Tomato,false,true,false,false,false,data/tomato/matK_Qiagen_tomato.fastq.gz
Tomato,false,false,true,false,false,data/tomato/rbcL_MN_tomato.fastq.gz
Tomato,false,false,true,false,false,data/tomato/rbcL_Qiagen_tomato.fastq.gz
